name,score
Jordon Gerrish,۵۵۷
Gay Benjafield,۵۲۷
Daisy Blacksell,۴۵۴
Taddeo Hauxley,۴۲۵
Imogen Gommey,۴۱۵
Jacki Gheorghescu,۴۰۷
Rea Goly,۴۰۶
Delinda Veque,۴۰۵
Rhianon Aistrop,۳۹۲
Ranique Buist,۳۸۹
Nestor Hallowell,۳۸۶
Robbert Sedgman,۳۷۸
Freddie Cannam,۳۷۷
Danica Doorey,۳۷۶
Anna-diane Torregiani,۳۶۹
Siegfried Laye,۳۶۶
Hallie Marieton,۳۵۹
Nev Pidduck,۳۵۹
Claybourne Ruggieri,۳۴۹
Dinny Courvert,۳۴۱
Nerty O'Shee,۳۳۰
Zahara Kayley,۳۱۲
Allsun Harrower,۳۱۱
Engracia Sewter,۳۰۹
Kalindi Swafield,۳۰۹
Brooks Fynn,۳۰۸
Nessy Colledge,۳۰۶
Kalindi Crux,۳۰۲
Coleman Poller,۲۹۸
Clemens Somerset,۲۹۷
Curcio Chuney,۲۹۷
Sandy Woolfall,۲۹۳
Had Hamley,۲۹۲
Ichabod Burgisi,۲۹۱
Whitman Burrill,۲۹۱
Garold Offield,۲۸۸
Tawnya Tunnah,۲۸۸
Anstice Kelway,۲۸۵
Jae Hardi,۲۸۴
Raddy Romaine,۲۸۴
Eula Raff,۲۸۲
Giff Been,۲۸۲
Consuelo McCumesky,۲۸۱
Karlens Touhig,۲۸۱
Weidar Gearing,۲۸۱
Paige Aherne,۲۸۰
Lexine Pietrzyk,۲۷۹
Arda Larrett,۲۷۵
Joaquin Pietrowicz,۲۷۴
Alika Normanell,۲۷۳
Sherye Philippon,۲۷۳
Thane Mousby,۲۷۲
Cody Lyptratt,۲۶۹
Jean Gwillyam,۲۶۹
Justus Gonsalvez,۲۶۸
Fergus Godball,۲۶۶
Bobette Kerne,۲۶۱
Brocky Heys,۲۶۰
Deane Toffler,۲۴۷
Mame Folonin,۲۴۵
Omero Ashby,۲۴۳
Tristam Hoy,۲۴۲
Perkin Buckler,۲۴۱
Alia Dutch,۲۳۳
Kellsie Yitzovitz,۲۳۱
Mimi Kezar,۲۳۱
Elaina Riteley,۲۲۹
Cornelia McLorinan,۲۲۸
Leonie Garrick,۲۲۸
Mikaela Harradine,۲۲۷
Michale Muscroft,۲۲۶
Adelaida Reignolds,۲۲۵
Cash Sallans,۲۲۰
Tynan Hosby,۲۱۸
Maren Risborough,۲۱۵
Brnaba Stert,۲۱۳
Gayelord Crosser,۲۱۳
Norry Spellworth,۲۱۲
Chiarra O'Dreain,۲۰۷
Lindsey Pennycock,۲۰۶
Bertie MacTrustam,۲۰۴
Delphine Ricards,۲۰۰
Che Fetherby,۱۹۹
Blythe Browncey,۱۹۷
Milli Gyer,۱۹۷
Mendy Rive,۱۹۴
Rorie Calken,۱۹۴
Jojo Vaughton,۱۹۳
Daisy McKennan,۱۹۲
Damara Devorill,۱۹۱
Padgett Puddle,۱۹۰
Sondra Leckenby,۱۹۰
Goldia Bagehot,۱۸۸
Robyn McGowran,۱۸۸
Augustina Geaves,۱۸۷
Ruddie Raubheim,۱۸۵
Karl Delph,۱۸۲
Margaretta Farady,۱۷۴
Constantin Rathjen,۱۷۳
Dore Adney,۱۶۸
Dawna Dewdney,۱۶۴
Worth Reardon,۱۶۱
Pierette Aslet,۱۶۰
Margy Henaughan,۱۵۳
Evered Syms,۱۵۰
Morley Stabbins,۱۴۱
Robbi McDonand,۱۴۱
Fairlie Matus,۱۳۵
Didi Gilberthorpe,۱۳۴
Catriona Eveque,۱۳۳
Haily MacCafferty,۱۳۲
Melisande Jedrzejewicz,۱۳۲
Allianora Ioselevich,۱۳۱
Fiorenze Fidoe,۱۳۰
Nady Scibsey,۱۲۷
Forster Nelthropp,۱۲۴
Gwenora Ricarde,۱۲۱
Gray Aspinall,۱۲۰
Virginia Haig,۱۱۹
Culver Zucker,۱۱۸
Lincoln Swadling,۱۱۸
Vincents Mochar,۱۱۷
Cleopatra Blue,۱۰۸
Ilene Chastelain,۱۰۳
Keely Barroux,۱۰۳
Keane Emmison,۱۰۰
Wernher Cosgrove,۹۹
Freddie Firks,۹۸
Redd Rapper,۹۵
Ava Forri,۹۴
Dot Wyllcocks,۹۳
Yalonda Jeffery,۸۷
Bethanne Carle,۸۵
Gabriela Vanyushin,۸۵
Alley Gooddy,۸۴
Nicola Wisbey,۸۴
Tilda Gidman,۸۱
Barnie Queripel,۷۸
Carmina Correa,۶۸
Georgeanna Dovington,۶۶
Emory Woodier,۵۹
Christy Reveley,۴۸
Jeanine Layus,۴۳
Federica Pudner,۳۸
Lelia Creggan,۳۴
Benedick Dionisi,۲۵
Paco Tumielli,۲۲
Alan Prickett,۱۶
Moyra Sheekey,۱۶
Mareah Trythall,۰
